,title,author,release year,synopsis,book length,rating,number of ratings
666,"The Boyfriend Project (The Boyfriend Project, #1)",Farrah Rochon,2020,,,3.58,14233
667,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,2016,"Welcome to the world of the Grisha.Kaz Brekker and his crew of deadly outcasts have just pulled off a heist so daring even they didn't think they'd survive. But instead of divvying up a fat reward, they're right back to fighting for their lives.Double-crossed and badly weakened, the crew is low on resources, allies, and hope. As powerful forces from around the world descen",561,4.61,477098
668,"Shadowfever (Fever, #5)",Karen Marie Moning,2011,"“Evil is a completely different creature, Mac. Evil is bad that believes it’s good.” — MacKayla Lane was just a child when she and her sister, Alina, were given up for adoption and banished from Ireland forever. — Twenty years later, Alina is dead and Mac has returned to the country that expelled them to hunt her sister’s murderer. But after discovering that she descends f",608,4.39,105380
669,"Her Royal Highness (Royals, #2)",Rachel Hawkins,2019,,,3.77,31026
670,"Marked (House of Night, #1)",P.C. Cast,2007,,,3.8,469197
671,"Origin (Lux, #4)",Jennifer L. Armentrout,2013,"Alternate cover for ISBN: 1622660757/9781622660759Daemon will do anything to get Katy back.After the successful but disastrous raid on Mount Weather, he’s facing the impossible. Katy is gone. Taken. Everything becomes about finding her. Taking out anyone who stands in his way? Done. Burning down the whole world to save her? Gladly. Exposing his alien race to the world? Wit",374,4.34,106214
672,"Inner Harbor (Chesapeake Bay Saga, #3)",Nora Roberts,1999,,,4.18,32911
673,"Eleven Scandals to Start to Win a Duke's Heart (Love By Numbers, #3)",Sarah MacLean,2011,"There is no telling where a scandal might lead...She lives for passion.Bold, impulsive, and a magnet for trouble, Juliana Fiori is no simpering English miss. She refuses to play by society’s rules: she speaks her mind, cares nothing for the approval of the ton, and can throw a punch with remarkable accuracy. Her scandalous nature makes her a favorite subject of London’s mo",370,4.0,26960
674,"No Good Duke Goes Unpunished (The Rules of Scoundrels, #3)",Sarah MacLean,2013,"A rogue ruined...He is the Killer Duke, accused of murdering Mara Lowe on the eve of her wedding. With no memory of that fateful night, Temple has reigned over the darkest of London’s corners for twelve years, wealthy and powerful, but beyond redemption. Until one night, Mara resurfaces, offering the one thing he’s dreamed of... absolution.A lady returned...Mara planned ne",384,3.86,20338
675,"Heart of the Sea (Gallaghers of Ardmore, #3)",Nora Roberts,2000,"The breathtaking conclusion to the New York Times bestselling trilogy that began with Jewels of the Sun and Tears of the Moon...Darcy Gallagher has always believed in the pull of fate, the magic of legend... and the importance of money. She longs to find a rich man who will sweep her away - into a world filled with glamour and adventure, and the exotic life that is her des",369,4.15,30801
676,Hani and Ishu's Guide to Fake Dating (Kindle Edition),Adiba Jaigirdar,2021,"Everyone likes Humaira ""Hani"" Khan—she’s easy going and one of the most popular girls at school. But when she comes out to her friends as bisexual, they invalidate her identity, saying she can’t be bi if she’s only dated guys. Panicked, Hani blurts out that she’s in a relationship…with a girl her friends absolutely hate—Ishita ""Ishu"" Dey. Ishu is the complete opposite of H",352,4.15,21328
677,"The Book of Life (All Souls, #3)",Deborah Harkness,2014,"The #1 New York Times bestselling series finale and sequel to A Discovery of Witches and Shadow of NightBringing the magic and suspense of the All Souls Trilogy to a deeply satisfying conclusion, this highly anticipated finale went straight to #1 on the New York Times bestseller list. In The Book of Life, Diana and Matthew time-travel back from Elizabethan London to make a",561,4.19,171986
678,"Unearthly (Unearthly, #1)",Cynthia Hand,2011,"In the beginning, there's a boy standing in the trees...Clara Gardner has recently learned that she's part angel. Having angel blood run through her veins not only makes her smarter, stronger, and faster than humans (a word, she realizes, that no longer applies to her), but it means she has a purpose, something she was put on this earth to do. Figuring out what that is, th",435,4.01,126498
679,Holding Up the Universe (Hardcover),Jennifer Niven,2016,,,3.76,105375
680,"Never Judge a Lady by Her Cover (The Rules of Scoundrels, #4)",Sarah MacLean,2014,"She is the most powerful woman in Britain, A queen of the London Underworld...But no one can ever know.He is the only man smart enough to uncover the truth, Putting all she has at risk...Including her heart.The fourth book in New York Times bestselling author Sarah MacLean’s incredible Rule of Scoundrels/Fallen Angels series. These four dark heroes will steal the hearts of",376,3.96,19315
681,"Visions of Heat (Psy-Changeling, #2)",Nalini Singh,2007,"
Hailed as a major new talent in paranormal romance, Nalini Singh takes us deeper into the world of the Psy and the changelings in her latest extraordinary novel, where a gifted woman sees passion in her future—a passion that is absolutely forbidden by her kind . . .
Used to cold silence, Faith NightStar is suddenly being tormented by dark visions of blood and murder. A ",332,4.08,38315
682,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,2006,"Since Louisiana cocktail waitress Sookie Stackhouse has so few living relatives, she hates to lose one - even her cousin Hadley, undead consort of the vampire Queen of Louisiana. Hadley's left everything she has to Sookie, but claiming that inheritance has a high risk factor. Some people don't want her looking too deeply into Hadley's past, or Hadley's possessions. And the",324,4.01,198979
683,"The Girl with the Make-Believe Husband (Rokesbys, #2)",Julia Quinn,2017,,,3.94,31086
684,The Song of Achilles (Paperback),Madeline Miller,2011,"Alternate cover edition of ISBN 9780062060624.Achilles, ""the best of all the Greeks,"" son of the cruel sea goddess Thetis and the legendary king Peleus, is strong, swift, and beautiful, irresistible to all who meet him. Patroclus is an awkward young prince, exiled from his homeland after an act of shocking violence. Brought together by chance, they forge an inseparable bon",378,4.38,950167
685,"Illuminae (The Illuminae Files, #1)",Amie Kaufman,2015,,,4.25,141918
686,"Morrigan's Cross (Circle Trilogy, #1)",Nora Roberts,2006,"Listening Length: 11 hours, 43 minutesNumber-one New York Times bestselling author Nora Roberts delivers an extraordinary new trilogy—an epic tale that breaks down the boundaries between reality and the otherworldly, while forging together the passions of the men and women caught in a battle for the fate of humanity ...In the last days of high summer, with lightning striki",321,4.14,52998
687,"Born in Shame (Born In Trilogy, #3)",Nora Roberts,1996,"Shannon Bodine’s life revolves around her job as a graphic artist at a New York ad agency. But her world turns upside down when she learns the identity of her real father: Thomas Concannon.Obeying her late mother’s wishes, Shannon reluctantly travels to County Clare. There, amid the lush landscape steeped in legend, she meets her half sisters and their families, but she’s ",384,4.1,34165
688,"Red Lily (In the Garden, #3)",Nora Roberts,2005,"A Harper has always lived at Harper House, the centuries-old mansion just outside of Memphis. And for as long as anyone alive remembers, the ghostly Harper Bride has walked the halls, singing lullabies at night...Hayley Phillips came to Memphis hoping for a new start, for herself and her unborn child. She wasn't looking for a handout from her distant cousin Roz, just a job",351,4.08,38459
689,Last Night at the Telegraph Club (Hardcover),Malinda Lo,2021,,,4.26,42868
690,"The Play (Briar U, #3)",Elle Kennedy,2019,,,4.07,59152
691,"The Raven Prince (Princes Trilogy, #1)",Elizabeth Hoyt,2006,"There comes a time in a lady's life...Widowed Anna Wren is having a wretched day. After an arrogant male on horseback nearly squashes her, she arrives home to learn that she is in dire financial straits.When she must do the unthinkable...The Earl of Swartingham is in a quandary. Having frightened off two secretaries, Edward de Raaf needs someone who can withstand his bad t",392,3.95,22313
692,Midnight Sun [2008 Draft] (ebook),Stephenie Meyer,2008,"The record for the completed novel can be found here. Midnight Sun is the much anticipated retelling of Twilight from Edward Cullen's perspective. An unedited partial draft was illegally leaked onto the internet in 2008; consequently, author Stephenie Meyer put the project on indefinite hold. Shortly afterward, she posted a letter to her fans on her website including a lin",264,4.01,149452
693,"China Rich Girlfriend (Crazy Rich Asians, #2)",Kevin Kwan,2015,"Kevin Kwan, bestselling author of Crazy Rich Asians, is back with a wickedly funny new novel of social climbing, secret e-mails, art-world scandal, lovesick billionaires, and the outrageous story of what happens when Rachel Chu, engaged to marry Asia's most eligible bachelor, discovers her birthfather. On the eve of her wedding to Nicholas Young, heir to one of the greates",378,3.84,188682
694,"Always Only You (Bergman Brothers, #2)",Chloe Liese,2020,,,4.05,24067
695,"Kiss of the Highlander (Highlander, #4)",Karen Marie Moning,2001,"A laird trapped between centuries...Enchanted by a powerful spell, Highland laird Drustan MacKeltar slumbered for nearly five centuries hidden deep in a cave, until an unlikely savior awakened him. The enticing lass who dressed and spoke like no woman he’d ever known was from his distant future, where crumbled ruins were all that remained of his vanished world. Drustan kne",396,4.3,41767
696,This Time Next Year (Kindle Edition),Sophie Cousens,2020,"The instant New York Times bestseller adored by readers around the world! Curl up with the refreshingly romantic and unputdownable rom-com which has everyone falling head over heels...Get ready to fall for this year's most extraordinary love storyQuinn and Minnie are born on New Year's Eve, in the same hospital, one minute apart.Their lives may begin together, but their wo",352,3.85,71158
697,"Throttled (Dirty Air, #1)",Lauren Asher,2020,"What happens when my brother's rival becomes my secret crush? Noah Slade is a Formula 1 legend in the making.Focused. Unapproachable. Ruthless on and off the track.A man with walls higher than the Grand Canyon.And my brother's new teammate.I want more of the prince who disguises himself as the villain.But while I crave a happy ending, he wants to destroy his.Maya Alatorre ",355,3.88,67884
698,"Tokyo Ever After (Tokyo Ever After, #1)",Emiko Jean,2021,,,3.96,31215
699,"Pretty Reckless (All Saints High, #1)",L.J. Shen,2019,"From USA Today and Washington Post bestselling author L.J. Shen comes an intense, high school enemies-to-lovers romance with a twist.   Penn  They say revenge is a dish best served cold. I’d had four years to stew on what Daria Followhill did to me, and now my heart was completely iced. I took her first kiss. She took the only thing I loved. I was poor. She was rich. The g",360,4.12,56819
700,"Ten Things I Love About You (Bevelstoke, #3)",Julia Quinn,2010,"Ten Things You Should Know About This Book1. Sebastian Grey is a devilishly handsome rogue with a secret.2. Annabel Winslow's family voted her The Winslow Most Likely to Speak Her Mind and The Winslow Most Likely to Fall Asleep in Church.3. Sebastian's uncle is the Earl of Newbury, and if he dies without siring an heir, Sebastian inherits everything.4. Lord Newbury detests",377,3.99,24867
701,Stepbrother Dearest (Paperback),Penelope Ward,2014,"You’re not supposed to want the one who torments you. When my stepbrother, Elec, came to live with us my senior year, I wasn’t prepared for how much of a jerk he’d be. I hated that he took it out on me because he didn’t want to be here. I hated that he brought girls from our high school back to his room. But what I hated the most was the unwanted way my body reacted to him",230,4.06,66152
702,"Heaven, Texas (Chicago Stars, #2)",Susan Elizabeth Phillips,1995,,,4.05,33014
703,"Backstage Pass (Sinners on Tour, #1)",Olivia Cunning,2010,"Five stunning guys, one hot woman, and a feverish romance...For him, life is all music and no play...When Brian Sinclair, lead songwriter and guitarist of the hottest metal band on the scene, loses his creative spark, it will take nights of downright sinful passion to release his pent-up genius...She's the one to call the tune...When sexy psychologist Myrna Evans goes on t",344,4.0,60233
704,"Wicked Lovely (Wicked Lovely, #1)",Melissa Marr,2007,"Rule #3: Don't stare at invisible faeries.Aislinn has always seen faeries. Powerful and dangerous, they walk hidden in the mortal world. Aislinn fears their cruelty - especially if they learn of her Sight - and wishes she were as blind to their presence as other teens.Rule #2: Don't speak to invisible faeries.Now faeries are stalking her. One of them, Keenan, who is equal ",328,3.69,162190
705,"Kingdom of the Wicked (Kingdom of the Wicked, #1)",Kerri Maniscalco,2020,,,3.96,148866
706,"Lead (Stage Dive, #3)",Kylie Scott,2014,,,4.28,47155
707,"Down London Road (On Dublin Street, #2)",Samantha Young,2013,"Johanna Walker is used to taking charge. But she’s about to meet someone who will make her lose control... It has always been up to Johanna to care for her family, particularly her younger brother, Cole. With an absent father and a useless mother, she’s been making decisions based on what’s best for Cole for as long as she can remember. She even determines what men to date",373,4.21,52006
708,"Wicked Intentions (Maiden Lane, #1)",Elizabeth Hoyt,2010,"A man controlled by his desires . . . Infamous for his wild, sensual needs, Lazarus Huntington, Lord Caire, is searching for a savage killer in St. Giles, London's most notorious slum. Widowed Temperance Dews knows St. Giles like the back of her hand - she's spent a lifetime caring for its inhabitants at the foundling home her family established. Now that home is at risk .",401,3.82,18073
709,Hate Notes (Kindle Edition),Vi Keeland,2018,,,4.14,63594
710,Since You've Been Gone (Hardcover),Morgan Matson,2014,,,4.09,109598
711,"Reached (Matched, #3)",Ally Condie,2012,"After leaving Society to desperately seek The Rising, and each other, Cassia and Ky have found what they were looking for, but at the cost of losing each other yet again. Cassia is assigned undercover in Central city, Ky outside the borders, an airship pilot with Indie. Xander is a medic, with a secret. All too soon, everything shifts again.",512,3.55,157531
712,"Key of Knowledge (Key Trilogy, #2)",Nora Roberts,2003,"You are the Key. The lock awaits.What happens when the very gods depend on mortals for help? That's what three very different young women find out when they are invited to Warrior's Peak.To librarian Dana Steele, books and the knowledge they hold are the key to contentment. But now that search for knowledge must include the second key needed to release three souls held cap",338,4.12,36506
713,The Last Letter from Your Lover (Paperback),Jojo Moyes,2008,,,3.99,109017
714,"Welcome to Temptation (Dempseys, #1)",Jennifer Crusie,2000,"Sophie Dempsey is content living a quiet life filming wedding videos until an assignment brings her to Temptation, Ohio. From the moment she drive into town, she gets a bad feeling; Sophie is from the wrong side of the tracks and everything in Temptation is a little too right. And when she has a run-in with the town's unnervingly sexy mayor, Phineas Tucker, making a little",416,3.94,33011
715,"The Maddest Obsession (Made, #2)",Danielle Lori,2019,"She fears the dark.He rules it.Her dresses are too tight, her heels too tall. She laughs too loudly, eats without decorum, and mixes up most sayings in the book. Little do most know it’s just a sparkly disguise, there to hide one panic attack at a time.Nobody can crack Gianna’s facade . . . no one anyway, until he comes along.Most see a paragon of morality; a special agent",333,4.31,85902
716,"White Hot (Hidden Legacy, #2)",Ilona Andrews,2017,,,4.47,38726
717,"The Tourist Attraction (Moose Springs, Alaska #1)",Sarah Morgenthaler,2020,,,3.56,24886
718,"Chasing Cassandra (The Ravenels, #6)",Lisa Kleypas,2020,"
Everything has a price.
Railway magnate Tom Severin is wealthy and powerful enough to satisfy any desire as soon as it arises. Anything—or anyone—is his for the asking. It should be simple to find the perfect wife—and from his first glimpse of Lady Cassandra Ravenel, he’s determined to have her. But the beautiful and quick-witted Cassandra is equally determined to marry",384,4.14,24023
719,Starry Eyes (Hardcover),Jenn Bennett,2018,,,4.01,26572
720,Mr. Wrong Number (Kindle Edition),Lynn Painter,2022,,,3.75,30262
721,"Finale (Hush, Hush, #4)",Becca Fitzpatrick,2012,"Nora and Patch thought their troubles were behind them. Hank is gone and they should be able to put his ugly vendetta to rest. But in Hank's absence, Nora has become the unwitting head of the Nephilim and must finish what Hank began. Which ultimately means destroying the fallen angels - destroying Patch.Nora will never let that happen, so she and Patch make a plan: lead ev",464,4.14,163162
722,Flipped (Paperback),Wendelin Van Draanen,2001,"Flipped is a romance told in two voices. The first time Juli Baker saw Bryce Loski, she flipped. The first time Bryce saw Juli, he ran. That's pretty much the pattern for these two neighbors until the eighth grade, when, just as Juli is realizing Bryce isn't as wonderful as she thought, Bryce is starting to see that Juli is pretty amazing. How these two teens manage to see",212,3.97,109473
723,"Things We Never Got Over (Knockemout, #1)",Lucy Score,2022,"Bearded, bad-boy barber Knox prefers to live his life the way he takes his coffee: Alone. Unless you count his basset hound, Waylon. Knox doesn’t tolerate drama, even when it comes in the form of a stranded runaway bride.Naomi wasn’t just running away from her wedding. She was riding to the rescue of her estranged twin to Knockemout, Virginia, a rough-around-the-edges town",570,4.29,175869
724,"Act Like It (London Celebrities, #1)",Lucy  Parker,2015,"This just in: romance takes center stage as West End theatre's Richard Troy steps out with none other than castmate Elaine GrahamRichard Troy used to be the hottest actor in London, but the only thing firing up lately is his temper. We all love to love a bad boy, but Richard's antics have made him Enemy Number One, breaking the hearts of fans across the city.Have the tides",199,3.87,10804
725,A Room with a View (Paperback),E.M. Forster,1908,"""But you do,"" he went on, not waiting for contradiction. ""You love the boy body and soul, plainly, directly, as he loves you, and no other word expresses it ...""Lucy has her rigid, middle-class life mapped out for her, until she visits Florence with her uptight cousin Charlotte, and finds her neatly ordered existence thrown off balance. Her eyes are opened by the unconvent",119,3.9,169459
726,"Frigid (Frigid, #1)",J. Lynn,2013,,,3.69,48757
727,"Electric Idol (Dark Olympus, #2)",Katee Robert,2022,"He was the most beautiful man alive.And if I wasn't careful, he was going to be my death.*A scorchingly hot modern retelling of Psyche and Eros that's as sinful as it is sweet.*In the ultra-modern city of Olympus, there's always a price to pay. Psyche knew she'd have to face Aphrodite's ire eventually, but she never expected her literal heart to be at stake...or for Aphrod",375,4.03,38994
728,"Prodigy (Legend, #2)",Marie Lu,2013,,,4.24,241293
729,"Grin and Beard It (Winston Brothers, #2)",Penny Reid,2016,"NEW YORK TIMES, WALL STREET JOURNAL, & USA TODAY bestselling seriesSienna Diaz is everyone’s favorite “fat” funny lady. The movie studio executives can’t explain it, but her films are out-grossing all the fit and trim headliners and Hollywood’s most beautiful elite. The simple truth is, everyone loves plus-sized Sienna. But she has a problem, she can’t read maps and her se",389,4.14,27092
730,"Requiem (Delirium, #3)",Lauren Oliver,2013,"Now an active member of the resistance, Lena has transformed. The nascent rebellion that was underway in Pandemonium has ignited into an all-out revolution in Requiem, and Lena is at the center of the fight. After rescuing Julian from a death sentence, Lena and her friends fled to the Wilds. But the Wilds are no longer a safe haven. Pockets of rebellion have opened through",391,3.74,141702
731,Eligible: A Modern Retelling of Pride & Prejudice (Hardcover),Curtis Sittenfeld,2016,"This version of the Bennet family and Mr. Darcy is one that you have and haven't met before: Liz is a magazine writer in her late thirties who, like her yoga instructor older sister, Jane, lives in New York City. When their father has a health scare, they return to their childhood home in Cincinnati to help and discover that the sprawling Tudor they grew up in is crumbling",492,3.6,83519
732,"All Together Dead (Sookie Stackhouse, #7)",Charlaine Harris,2007,,,4.05,195863
733,"The Iron Duke (Iron Seas, #1)",Meljean Brook,2010,,,3.84,16737
734,"Key of Valor (Key Trilogy, #3)",Nora Roberts,2003,,,4.13,36182
735,"Before Jamaica Lane (On Dublin Street, #3)",Samantha Young,2014,,,4.3,42069
736,"Whitney, My Love (Westmoreland, #2)",Judith McNaught,1985,,,4.13,34654
737,"Forever Too Far (Rosemary Beach, #3; Too Far, #3)",Abbi Glines,2013,"Rush promised her forever... but promises can be broken. Torn between his love for his family and his love for Blaire, Rush has to find a way to save one without losing the other. In the end one has to be more important. Letting go isn’t easy. Blaire believed in her fairytale... but no one can live in a fantasy. Her love for Rush and desire to have a family keep her believ",292,4.21,84454
738,"Bloodfever (Fever, #2)",Karen Marie Moning,2007,,,4.25,103842
739,"Isn't It Bromantic? (Bromance Book Club, #4)",Lyssa Kay Adams,2021,,,4.07,20046
740,"Lover at Last (Black Dagger Brotherhood, #11)",J.R. Ward,2013,,,4.3,67563
741,"On the Fence (Old Town Shops, #2)",Kasie West,2014,,,4.03,57713
742,"No Rest for the Wicked (Immortals After Dark, #2)",Kresley Cole,2006,"alternate cover edition of ISBN 9781416509882In this next installment in the Immortals After Dark Series, USA Today Bestselling author Kresley Cole delivers a scorching tale about a forbidding vampire who lives in the shadows and the beautiful assassin who hunts him there. A vampire soldier weary of life...Centuries ago, Sebastian Wroth was turned into a vampire—a nightmar",356,4.27,56303
743,"The Assassin's Blade (Throne of Glass, #0.1-0.5)",Sarah J. Maas,2014,,,4.33,255753
744,Beauty: A Retelling of the Story of Beauty and the Beast (Paperback),Robin McKinley,1978,"A strange imprisonment...Beauty has never liked her nickname. She is thin and awkward; it is her two sisters who are the beautiful ones. But what she lacks in looks, she can perhaps make up for in courage.When her father comes home with the tale of an enchanted castle in the forest and the terrible promise he had to make to the Beast who lives there, Beauty knows she must ",256,4.05,77679
745,"This Is What Happy Looks Like (This is What Happy Looks Like, #1)",Jennifer E. Smith,2013,,,3.67,50009
746,My True Love Gave to Me: Twelve Holiday Stories (Hardcover),Stephanie Perkins,2014,"
Myra McEntire (Goodreads Author), 


Rainbow Rowell (Goodreads Author), 


Laini Taylor (Goodreads Author), 


Kiersten White (Goodreads Author), 


Jim Tierney (Illustrator)

…less",321,3.67,39069
747,"Well Matched (Well Met, #3)",(Editor/Contributer),2021,"Single mother April Parker has lived in Willow Creek for twelve years with a wall around her heart. On the verge of being an empty nester, she's decided to move on from her quaint little town, and asks her friend Mitch for his help with some home improvement projects to get her house ready to sell.Mitch Malone is known for being the life of every party, but mostly for the ",313,3.87,18109
748,"Someone to Watch Over Me (Bow Street Runners, #1)",Jen DeLuca,1998,,,3.77,21345
749,"This Heart of Mine (Chicago Stars, #5)",Lisa Kleypas,2001,,,4.09,30843
750,Montana Sky (Paperback),Nora Roberts,1996,,,4.09,46437
751,The Henna Wars (Hardcover),Adiba Jaigirdar,2020,"When Dimple Met Rishi meets Simon vs. the Homo Sapiens Agenda in this rom com about two teen girls with rival henna businesses.When Nishat comes out to her parents, they say she can be anyone she wants—as long as she isn’t herself. Because Muslim girls aren’t lesbians. Nishat doesn’t want to hide who she is, but she also doesn’t want to lose her relationship with her famil",400,4.0,20281
752,"At Grave's End (Night Huntress, #3)",Jeaniene Frost,2008,"Some Things Won’t Stay Buried … At Grave’s EndIt should be the best time of half-vampire Cat Crawfield’s life. With her undead lover Bones at her side, she’s successfully protected mortals from the rogue undead. But though Cat’s worn disguise after disguise to keep her true identity a secret from the brazen bloodsuckers, her cover’s finally been blown, placing her in terri",342,4.29,87401
753,"Chesapeake Blue (Chesapeake Bay Saga, #4)",Nora Roberts,2002,,,4.19,33157
754,"While We Were Dating (The Wedding Date, #6)",Jasmine Guillory,2021,"Two people realize that it's no longer an act when they veer off-script in this sizzling romantic comedy by New York Times bestselling author Jasmine Guillory.Ben Stephens has never bothered with serious relationships. He has plenty of casual dates to keep him busy, family drama he's trying to ignore and his advertising job to focus on. When Ben lands a huge ad campaign fe",336,3.76,29416
755,"Seduction and Snacks (Chocolate Lovers, #1)",Tara Sivec,2012,"An alternate cover of this ASIN can be found here.Claire is a twenty-something, single mom that grudgingly helps her best friend sell sex toys while she attempts to make enough money to start her own business to give her foul-mouthed, but extremely loveable (when he's asleep) toddler a better life. When Carter, the one-night-stand from her past that changed her life foreve",286,4.07,52342
756,"The Risk (Mindf*ck, #1)",S.T. Abby,2016,"They took too much.Left too little.I had nothing to lose...until him.*****************~Lana~I didn't expect him.I didn't want to fall in love.But I can't let him go.Logan Bennett makes the world a safer place.He's brilliant.He's a hero.He locks away the sick and depraved.But while he's saving lives, I'm taking them. Collecting the debts that are owed to me.Ten years ago, t",132,4.29,73865
757,Felix Ever After (Hardcover),Kacen Callender,2020,"From Stonewall and Lambda Award-winning author Kacen Callender comes a revelatory YA novel about a transgender teen grappling with identity and self-discovery while falling in love for the first time.Felix Love has never been in love—and, yes, he’s painfully aware of the irony. He desperately wants to know what it’s like and why it seems so easy for everyone but him to fin",368,4.32,47296
758,Egomaniac (Paperback),Vi Keeland,2017,,,4.22,44747
759,"Be with Me (Wait for You, #2)",Jennifer L. Armentrout,2014,,,4.12,46763
760,"The Warlord Wants Forever (Immortals After Dark, #0.5)",Kresley Cole,2006,"Nikolai Wroth, once a ruthless human warlord in the 1700s and now a general in the rebel vampire army, needs to find his bride, the one woman who can render him truly alive. As a turned human, he doesn't enjoy a heartbeat or breathing and is consequently weaker than fully blooded vampires. He wants his bride for the power she will bring him and can hardly believe it when h",163,4.04,58997
761,"Magic Bites (Kate Daniels, #1)",Ilona Andrews,2007,"Ilona Andrews invites you to experience the first novel in the #1 New York Times bestselling series featuring the intriguing fantasy world of mercenary Kate Daniels…When the magic is up, rogue mages cast their spells and monsters appear, while guns refuse to fire and cars fail to start. But then technology returns, and the magic recedes as unpredictably as it arose, leavin",261,4.05,117960
762,"The Lost Duke of Wyndham (Two Dukes of Wyndham, #1)",Julia Quinn,2008,"WILL THE REAL DUKE OF WYNDHAM PLEASE STAND UP?Jack Audley has been a highwayman. A soldier. And he has always been a rogue. What he is not, and never wanted to be, is a peer of the realm, responsible for an ancient heritage and the livelihood of hundreds. But when he is recognized as the long-lost son of the House of Wyndham, his carefree life is over. And if his birth pro",371,3.74,22186
763,"The Year We Fell Down (The Ivy Years, #1)",Sarina Bowen,2014,,,3.96,28236
764,"Beauty and the Mustache (Knitting in the City, #4; Winston Brothers, #0)",Penny Reid,2014,"There are three things you need to know about Ashley Winston: 1) She has six brothers and they all have beards, 2) She is a reader, and 3) She knows how to knit.  Former beauty queen, Ashley Winston’s preferred coping strategy is escapism. She escaped her Tennessee small town, loathsome father, and six brothers eight years ago. Now she escapes life daily via her one-click ",372,4.21,27550
765,Caressed by Ice (Psy-Changeling #3),Nalini Singh,2007,"
Explore new heights of sensuality in this return to the world of the Psy—where two people who know evil intimately must unlock the good within their icy hearts…
As an Arrow, an elite soldier in the Psy Council ranks, Judd Lauren was forced to do terrible things in the name of his people. Now a defector, his dark abilities have made him the most deadly of assassins—cold,",352,4.29,38179
766,"Slightly Married (Bedwyn Saga, #1)",Mary Balogh,2003,,,3.94,17284
767,"Dream a Little Dream (Chicago Stars, #4)",Susan Elizabeth Phillips,1998,"A Desperate Young MotherRachel Stone's bad luck has taken a turn for the worse. With an empty wallet, a car's that's spilling smoke, and a five-year-old son to support, she's come home to a town that hates her. But this determined young widow with a scandalous past has learned how to be a fighter. And she'll do anything to keep her child safe—even take on. . .A man With No",400,4.17,33460
768,"After Ever Happy (After, #4)",Anna Todd,2015,"Tessa and Hardin have defied all the odds, but will their fairy tale ending be turned on its head? AFTER EVER HAPPY...Life will never be the same. #HESSAIt’s never been all rainbows and sunshine for Tessa and Hardin, but each new challenge they’ve faced has only made their passionate bond stronger and stronger. But when a revelation about the past shakes Hardin’s inpenetra",512,3.99,109402
769,Only Mostly Devastated (Hardcover),Sophie Gonzales,2020,,,3.99,23451
770,"On the Edge (The Edge, #1)",Ilona Andrews,2009,,,4.04,42672
771,A Midsummer Night's Dream (Paperback),William Shakespeare,1595,"Shakespeare's intertwined love polygons begin to get complicated from the start--Demetrius and Lysander both want Hermia but she only has eyes for Lysander. Bad news is, Hermia's father wants Demetrius for a son-in-law. On the outside is Helena, whose unreturned love burns hot for Demetrius. Hermia and Lysander plan to flee from the city under cover of darkness but are pur",240,3.95,498829
772,"Written in My Own Heart's Blood (Outlander, #8)",Diana Gabaldon,2014,"It is June 1778, and the world seems to be turning upside-down. The British Army is withdrawing from Philadelphia, with George Washington in pursuit, and for the first time, it looks as if the rebels might actually win. But for Claire Fraser and her family, there are even more tumultuous revolutions that have to be accommodated.Her former husband, Jamie, has returned from ",825,4.54,113874
773,The Search (Hardcover),Nora Roberts,2010,,,4.16,55185
774,Frederica (Paperback),Georgette Heyer,1965,,,4.19,20606
775,"The Boy Who Sneaks in My Bedroom Window (The Boy Who Sneaks in My Bedroom Window, #1)",Kirsty Moseley,2011,,,3.87,72746
776,"Love Unscripted (Love, #1)",Tina Reber,2010,"An A-List Movie Star. . . Ryan Christensen just wanted to be an actor. Never in his wildest dreams did he imagine a life where fans would chase him, paparazzi would stalk him, and Hollywood studios would want to own him. While filming in Seaport, Rhode Island, Ryan ducks into a neighborhood bar for a quick escape from legions of screaming fans . . . and finds much more tha",668,4.02,67961
777,Perfect on Paper (Hardcover),Sophie Gonzales,2021,,,4.07,21852
778,"Dead and Gone (Sookie Stackhouse, #9)",Charlaine Harris,2009,"The vamps have been out for years, and now the weres and shifters have decided to follow the lead of the undead and reveal their existence to the ordinary world. Sookie Stackhouse already knows about them, of course - her brother turns into a panther at the full moon, she's friend to the local were pack, and Sam, her boss at Merlotte's bar, is a shapeshifter.The great reve",320,4.01,183547
779,"From Dead to Worse (Sookie Stackhouse, #8)",Charlaine Harris,2008,"After the natural disaster of Hurricane Katrina and the manmade explosion at the vampire summit, everyone human and otherwise is stressed, including Louisiana cocktail waitress Sookie Stackhouse, who is trying to cope with the fact that her boyfriend Quinn has gone missing. It's clear that things are changing whether the weres and vamps of her corner of Louisiana like it o",368,4.01,183532
780,"At First Sight (Jeremy Marsh & Lexie Darnell, #2)",Nicholas Sparks,2004,,,3.84,84338
781,"Pride, Prejudice, and Other Flavors (The Rajes, #1)",Sonali Dev,2019,,,3.69,15208
782,"Effortless (Thoughtless, #2)",S.C. Stephens,2011,,,4.35,115071
